feature,importance
commercial_score,1.3503731
footfall_score,1.1992668
luminosity_score,0.9395965
luminosity_norm,0.93298775
emergency_score,0.6355398
visual_score,0.43115324
night_crime_density,0.37076193
crime_penalty,0.33867696
physical_score,0.2995995
combined_risk_score,0.2932696
is_primary_secondary,0.25753608
accident_density,0.24187267
lit_road_bonus,0.18248619
crime_density,0.039963227
highway_type_enc,0.034569826
has_sidewalk,0.027844025
brightness_mean,0.017765442
darkness_ratio,0.0132550895
shop_count_200m_norm,0.009486158
police_count_500m_norm,0.007005982
greenery_ratio,0.0052010627
lamp_count_80m_norm,0.00135533
transit_score,0.001007903
is_dead_end,0.00028740175
bus_stop_count_300m_norm,0.00025753796
lanes,0.00024385042
has_road_name,0.00021181029
cctv_count_150m_norm,9.202098e-05
construction_nearby,4.095482e-05
hour_sin,0.0
hour_cos,0.0
is_night,0.0
